gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76936.12660810276	3.072352782387639	0.1557519917372178	19.72592933239186	1.291617107901485e-86	2.957803177094401e-84
ENSG00000154734	22865.08587234664	3.4423556548731975	0.1798335392052625	19.141900171046977	1.130703099692619e-81	1.2946550491480487e-79
ENSG00000154723	7343.923805520739	2.582672185520165	0.1643129512207224	15.71800741410121	1.1384818880045155e-55	8.690411745101134e-54
ENSG00000180509	30231.9151483861	2.9441365118997394	0.20051340802288697	14.682990733286475	8.28539397745716e-49	4.743388052094224e-47
ENSG00000183145	9994.793645894062	2.891493528591818	0.2492673230575807	11.599970237269662	4.122215831589854e-31	1.887974850868153e-29
ENSG00000276289	11795.933473459085	2.860490729462358	0.46501349021260985	6.151414506608199	7.679491953097785e-10	2.931006095432321e-8
ENSG00000277277	724.5052256606184	0.9286736405344421	0.2637873527573639	3.5205389144969805	4.306707930065996e-4	0.014089087371215902
ENSG00000185437	2256.6883392580194	0.5148423886649552	0.19122730904567153	2.6923057759600306	0.007095985320900737	0.2031225798107836
ENSG00000160188	1876.1553814817296	-0.5370351723135829	0.21936687062646634	-2.448114297204139	0.0143606092227042	0.3477897204195801
ENSG00000154719	1373.4004483370134	-0.5881853959159105	0.24226285687473653	-2.427881035927993	0.015187324035789526	0.3477897204195801
ENSG00000157557	3474.1611942960103	-0.4903709983008293	0.21046721905163793	-2.329916271571571	0.01981057684620999	0.38367983455965005
ENSG00000160207	885.4233964394413	0.6336072304760054	0.2743570140095368	2.3094260329498293	0.020919951812082404	0.38367983455965005
ENSG00000177692	2181.328899891263	0.4599182680203166	0.2004729468470596	2.294166246636696	0.021780951306879695	0.38367983455965005
ENSG00000186930	103.43204257680185	-1.1268490163030773	0.5636249060097565	-1.9992888963703306	0.045577104863336985	0.7002642115369316
ENSG00000205929	1354.6020553782373	0.47339629144825507	0.2371014165418599	1.9965983263734641	0.04586883481682958	0.7002642115369316
ENSG00000184012	5523.111289629154	-0.39545462528244074	0.20891734032436451	-1.8928760277555656	0.05837435790117319	0.7979042108970575
ENSG00000183036	968.619932228124	-0.5296873218858728	0.28134837396773044	-1.8826741893543903	0.05974453537460953	0.7979042108970575
ENSG00000141959	16969.289508210328	2.077128630795919	1.1160218579094934	1.8611899185261023	0.06271736155522724	0.7979042108970575
ENSG00000187175	207.7175031613802	0.7791029348177542	0.4416990272516203	1.7638774068975407	0.07775262143503063	0.8701342321308785
ENSG00000166265	1222.5623338671528	0.5314761952086439	0.3013797701928384	1.7634766755199853	0.07782012778250141	0.8701342321308785
ENSG00000159128	2810.115724395958	0.34679256897577176	0.19795421023761303	1.7518827639962877	0.0797939688853644	0.8701342321308785
ENSG00000244624	102.05800269447897	0.9864541156677045	0.5741551357029816	1.7180968249285344	0.08577895588033167	0.8908455492206083
ENSG00000274391	3083.2395540657126	0.288658232327914	0.17313131675958057	1.6672791366148985	0.09545891320900603	0.8908455492206083
ENSG00000154721	3847.6394759290315	-0.32400506455436057	0.1969435189588004	-1.6451674381939971	0.09993528645729946	0.8908455492206083
ENSG00000197683	369.2696833908173	-0.6840261952316978	0.42146171006437144	-1.6229853837190191	0.10459252942328362	0.8908455492206083
ENSG00000184221	1250.3688493322927	-0.4602813509042274	0.2850176755931374	-1.6149221270096905	0.10632755983358037	0.8908455492206083
ENSG00000154727	3764.9102444206264	0.274547596316889	0.170444280102435	1.6107762381459156	0.10722850197382397	0.8908455492206083
ENSG00000142173	5506.614555011491	-0.31287174560472586	0.19608400823448124	-1.595600520520712	0.11057801125111813	0.8908455492206083
ENSG00000212938	216.08813784938155	-0.7131652481249249	0.4497568032709797	-1.585668616768518	0.11281450186636525	0.8908455492206083
ENSG00000156239	3663.6939875646913	-0.3651226302149003	0.23867372669459652	-1.5297981695409064	0.12606669484322863	0.957886489889798
ENSG00000160182	178.72471693808055	-0.6949830386693641	0.4743660580839519	-1.4650775004361043	0.14289977445715202	0.957886489889798
ENSG00000186925	146.39189975200975	0.6779434675643958	0.47154660492476996	1.4377019375901439	0.1505186431103789	0.957886489889798
ENSG00000154654	5151.84909039632	0.32691584897881654	0.22934438000730276	1.4254364940985558	0.15403106519306764	0.957886489889798
ENSG00000166351	1223.7745670073527	0.34804505293429655	0.2498873022376756	1.3928080771517555	0.16367783525746096	0.957886489889798
ENSG00000182591	328.5133231004472	-0.5005588718134507	0.37662926443148675	-1.3290493306966809	0.18383169533763222	0.957886489889798
ENSG00000159200	9649.875541642403	-0.23428679178989234	0.1766215188501526	-1.3264906412035984	0.1846772330553708	0.957886489889798
ENSG00000159263	4523.465178216405	-0.253427008407051	0.19188293864927797	-1.3207375819392821	0.18658887835651464	0.957886489889798
ENSG00000154640	1588.9859944368395	-0.24432427796965694	0.18811324383686248	-1.2988148680352478	0.1940074709309209	0.957886489889798
ENSG00000160181	720.3129101975808	0.33897604248844526	0.2625807754185169	1.2909400619606102	0.19672446223572737	0.957886489889798
ENSG00000232263	142.44715705541648	-0.6708684538075211	0.5245652237757003	-1.2789037919417603	0.2009309371763852	0.957886489889798
ENSG00000206104	85.50727415795318	0.7897150277018632	0.6229609557354463	1.2676798127252658	0.20491231677706098	0.957886489889798
ENSG00000183527	1893.4618712637314	0.24109894091150608	0.19124577364537862	1.2606759162091012	0.20742563447605075	0.957886489889798
ENSG00000157617	9315.46615857067	-0.24782892260759704	0.19814413060656372	-1.2507507633404886	0.2110254235309323	0.957886489889798
